1,2,3,4,5,6,7,8,9,10
45.0,65.0,90.0,110.0,126.0,138.0,150.0,156.7,163.3,170.0
25.0,40.0,62.0,99.0,125.5,139.0,152.5,166.3,180.2,194.0
60.6,112.7,175.7,225.3,275.0,299.8,324.7,334.6,344.5,354.4
60.5,99.9,139.2,182.1,225.0,235.2,245.5,250.3,255.1,259.9
121.5,121.4,121.2,121.1,121.0,134.6,148.3,154.1,159.9,165.7
15.5,27.5,39.5,55.0,71.5,80.5,89.5,96.2,102.8,109.5
90.3,170.3,250.3,300.1,345.0,360.2,375.3,381.2,387.0,392.9
38.0,82.7,126.4,160.2,194.0,208.0,222.1,226.3,230.6,234.9
40.0,75.0,101.5,137.5,171.5,192.0,215.0,222.5,230.0,237.5
71.7,103.9,136.1,175.5,215.0,239.3,263.5,271.5,279.5,287.4
38.5,61.0,92.0,126.5,160.0,180.0,200.0,208.3,216.7,225.0
47.5,62.5,116.0,162.5,195.0,222.5,250.0,259.2,268.3,277.5
28.5,56.1,86.7,113.3,140.0,153.1,166.2,179.3,192.4,205.5
27.5,50.0,77.0,105.0,131.0,141.8,152.5,159.2,165.8,172.5
231.1,316.4,401.8,487.1,572.5,589.6,606.7,613.8,620.8,627.9
52.5,97.5,152.5,205.0,235.0,255.6,276.1,280.0,283.9,287.9
18.0,28.5,40.5,59.0,74.5,84.3,94.0,101.0,108.0,115.0
297.1,360.0,400.0,420.0,440.0,471.4,502.9,525.7,548.6,571.4
148.5,221.5,275.0,275.0,275.0,292.9,310.7,323.3,335.9,348.5
63.5,98.6,133.7,164.3,195.0,211.7,228.4,235.4,242.4,249.5
60.0,107.5,175.0,241.0,293.0,326.5,360.0,367.5,375.0,382.5
110.9,193.0,275.1,332.6,400.0,396.8,403.5,419.8,436.0,452.3
126.9,221.6,316.3,370.7,425.0,441.9,458.8,465.6,472.3,479.1
65.0,175.0,285.0,363.5,440.5,472.3,502.5,512.5,522.5,532.5
32.0,62.0,80.0,125.0,146.5,158.3,170.0,180.7,191.3,202.0
31.6,52.6,74.1,98.6,122.5,135.6,148.6,161.7,174.8,187.9
15.0,35.2,55.3,75.5,100.5,113.0,125.5,132.2,138.8,145.5
72.5,150.0,235.0,287.5,340.0,372.5,405.0,412.5,420.0,427.5
138.9,237.4,335.8,376.4,405.0,419.4,433.8,448.2,462.6,477.0
57.5,125.0,207.5,286.3,365.0,388.8,412.5,425.8,439.2,452.5
379.9,460.2,511.4,536.9,562.5,602.7,642.9,672.1,701.3,730.5
31.7,60.0,86.3,109.7,132.5,142.2,152.0,161.7,171.4,181.2
26.5,50.0,79.0,112.8,146.5,167.5,188.5,197.7,206.8,216.0
142.2,243.7,345.2,390.1,430.0,458.4,481.8,489.9,498.0,506.2
52.5,95.0,150.0,202.5,255.0,280.0,305.0,313.0,323.0,335.0
74.3,155.0,242.5,305.0,367.5,401.3,435.0,448.3,461.7,475.0
45.0,92.5,147.5,200.3,253.0,285.3,317.5,327.5,337.5,347.5
17.5,32.5,47.5,72.3,97.0,104.8,112.5,118.3,124.2,130.0
40.0,91.0,140.0,187.0,234.0,259.0,284.0,294.3,304.7,315.0
36.0,66.0,112.0,153.5,195.0,207.0,219.0,231.0,243.0,255.0
107.5,275.5,438.0,532.5,605.5,641.8,678.0,688.7,699.3,710.0
329.2,398.9,443.2,465.3,487.5,522.3,557.1,582.5,607.8,633.1
31.0,52.0,89.0,122.0,155.0,178.3,201.5,210.7,219.8,229.0
79.7,177.5,285.0,355.0,425.0,460.0,495.0,503.3,511.7,520.0
70.0,165.0,247.5,316.3,385.0,417.5,450.0,459.2,468.3,477.5
45.0,65.0,90.0,110.0,126.0,138.0,150.0,156.7,163.3,170.0
25.0,40.0,62.0,99.0,125.5,139.0,152.5,166.3,180.2,194.0
60.6,112.7,175.7,225.3,275.0,299.8,324.7,334.6,344.5,354.4
60.5,99.9,139.2,182.1,225.0,235.2,245.5,250.3,255.1,259.9
121.5,121.4,121.2,121.1,121.0,134.6,148.3,154.1,159.9,165.7
15.5,27.5,39.5,55.0,71.5,80.5,89.5,96.2,102.8,109.5
90.3,170.3,250.3,300.1,345.0,360.2,375.3,381.2,387.0,392.9
38.0,82.7,126.4,160.2,194.0,208.0,222.1,226.3,230.6,234.9
40.0,75.0,101.5,137.5,171.5,192.0,215.0,222.5,230.0,237.5
71.7,103.9,136.1,175.5,215.0,239.3,263.5,271.5,279.5,287.4
38.5,61.0,92.0,126.5,160.0,180.0,200.0,208.3,216.7,225.0
47.5,62.5,116.0,162.5,195.0,222.5,250.0,259.2,268.3,277.5
28.5,56.1,86.7,113.3,140.0,153.1,166.2,179.3,192.4,205.5
27.5,50.0,77.0,105.0,131.0,141.8,152.5,159.2,165.8,172.5
231.1,316.4,401.8,487.1,572.5,589.6,606.7,613.8,620.8,627.9
52.5,97.5,152.5,205.0,235.0,255.6,276.1,280.0,283.9,287.9
18.0,28.5,40.5,59.0,74.5,84.3,94.0,101.0,108.0,115.0
297.1,360.0,400.0,420.0,440.0,471.4,502.9,525.7,548.6,571.4
148.5,221.5,275.0,275.0,275.0,292.9,310.7,323.3,335.9,348.5
63.5,98.6,133.7,164.3,195.0,211.7,228.4,235.4,242.4,249.5
60.0,107.5,175.0,241.0,293.0,326.5,360.0,367.5,375.0,382.5
110.9,193.0,275.1,332.6,400.0,396.8,403.5,419.8,436.0,452.3
126.9,221.6,316.3,370.7,425.0,441.9,458.8,465.6,472.3,479.1
65.0,175.0,285.0,363.5,440.5,472.3,502.5,512.5,522.5,532.5
32.0,62.0,80.0,125.0,146.5,158.3,170.0,180.7,191.3,202.0
31.6,52.6,74.1,98.6,122.5,135.6,148.6,161.7,174.8,187.9
15.0,35.2,55.3,75.5,100.5,113.0,125.5,132.2,138.8,145.5
72.5,150.0,235.0,287.5,340.0,372.5,405.0,412.5,420.0,427.5
138.9,237.4,335.8,376.4,405.0,419.4,433.8,448.2,462.6,477.0
57.5,125.0,207.5,286.3,365.0,388.8,412.5,425.8,439.2,452.5
379.9,460.2,511.4,536.9,562.5,602.7,642.9,672.1,701.3,730.5
31.7,60.0,86.3,109.7,132.5,142.2,152.0,161.7,171.4,181.2
26.5,50.0,79.0,112.8,146.5,167.5,188.5,197.7,206.8,216.0
142.2,243.7,345.2,390.1,430.0,458.4,481.8,489.9,498.0,506.2
52.5,95.0,150.0,202.5,255.0,280.0,305.0,313.0,323.0,335.0
74.3,155.0,242.5,305.0,367.5,401.3,435.0,448.3,461.7,475.0
45.0,92.5,147.5,200.3,253.0,285.3,317.5,327.5,337.5,347.5
17.5,32.5,47.5,72.3,97.0,104.8,112.5,118.3,124.2,130.0
40.0,91.0,140.0,187.0,234.0,259.0,284.0,294.3,304.7,315.0
36.0,66.0,112.0,153.5,195.0,207.0,219.0,231.0,243.0,255.0
107.5,275.5,438.0,532.5,605.5,641.8,678.0,688.7,699.3,710.0
329.2,398.9,443.2,465.3,487.5,522.3,557.1,582.5,607.8,633.1
31.0,52.0,89.0,122.0,155.0,178.3,201.5,210.7,219.8,229.0
79.7,177.5,285.0,355.0,425.0,460.0,495.0,503.3,511.7,520.0
70.0,165.0,247.5,316.3,385.0,417.5,450.0,459.2,468.3,477.5
45.0,65.0,90.0,110.0,126.0,138.0,150.0,156.7,163.3,170.0
25.0,40.0,62.0,99.0,125.5,139.0,152.5,166.3,180.2,194.0
60.6,112.7,175.7,225.3,275.0,299.8,324.7,334.6,344.5,354.4
60.5,99.9,139.2,182.1,225.0,235.2,245.5,250.3,255.1,259.9
121.5,121.4,121.2,121.1,121.0,134.6,148.3,154.1,159.9,165.7
15.5,27.5,39.5,55.0,71.5,80.5,89.5,96.2,102.8,109.5
90.3,170.3,250.3,300.1,345.0,360.2,375.3,381.2,387.0,392.9
38.0,82.7,126.4,160.2,194.0,208.0,222.1,226.3,230.6,234.9
40.0,75.0,101.5,137.5,171.5,192.0,215.0,222.5,230.0,237.5
71.7,103.9,136.1,175.5,215.0,239.3,263.5,271.5,279.5,287.4
38.5,61.0,92.0,126.5,160.0,180.0,200.0,208.3,216.7,225.0
47.5,62.5,116.0,162.5,195.0,222.5,250.0,259.2,268.3,277.5
28.5,56.1,86.7,113.3,140.0,153.1,166.2,179.3,192.4,205.5
27.5,50.0,77.0,105.0,131.0,141.8,152.5,159.2,165.8,172.5
231.1,316.4,401.8,487.1,572.5,589.6,606.7,613.8,620.8,627.9
52.5,97.5,152.5,205.0,235.0,255.6,276.1,280.0,283.9,287.9
18.0,28.5,40.5,59.0,74.5,84.3,94.0,101.0,108.0,115.0
297.1,360.0,400.0,420.0,440.0,471.4,502.9,525.7,548.6,571.4
148.5,221.5,275.0,275.0,275.0,292.9,310.7,323.3,335.9,348.5
63.5,98.6,133.7,164.3,195.0,211.7,228.4,235.4,242.4,249.5
60.0,107.5,175.0,241.0,293.0,326.5,360.0,367.5,375.0,382.5
110.9,193.0,275.1,332.6,400.0,396.8,403.5,419.8,436.0,452.3
126.9,221.6,316.3,370.7,425.0,441.9,458.8,465.6,472.3,479.1
65.0,175.0,285.0,363.5,440.5,472.3,502.5,512.5,522.5,532.5
32.0,62.0,80.0,125.0,146.5,158.3,170.0,180.7,191.3,202.0
31.6,52.6,74.1,98.6,122.5,135.6,148.6,161.7,174.8,187.9
15.0,35.2,55.3,75.5,100.5,113.0,125.5,132.2,138.8,145.5
72.5,150.0,235.0,287.5,340.0,372.5,405.0,412.5,420.0,427.5
