"Ticker","Stock_Name","Sector_Name"
"MMM","3M Company","Industrials"
"ACE","ACE Limited","Financials"
"ADCT","ADC Telecommunications","Information Technology"
"AES","AES Corp.","Utilities"
"AFL","AFLAC Inc.","Financials"
"AT","ALLTEL Corp.","Telecommunication Services"
"T","AT&T Inc.","Telecommunication Services"
"ABT","Abbott Labs","Health Care"
"ANF","Abercrombie & Fitch Co.","Consumer Discretionary"
"ADBE","Adobe Systems","Information Technology"
"AMD","Advanced Micro Devices","Information Technology"
"AET","Aetna Inc.","Health Care"
"ACS","Affiliated Computer","Information Technology"
"A","Agilent Technologies","Information Technology"
"APD","Air Products & Chemicals","Materials"
"AA","Alcoa Inc","Materials"
"AYE","Allegheny Energy","Utilities"
"ATI","Allegheny Technologies Inc","Materials"
"AGN","Allergan, Inc.","Health Care"
"AW","Allied Waste Industries","Industrials"
"ALL","Allstate Corp.","Financials"
"ALTR","Altera Corp.","Information Technology"
"MO","Altria Group, Inc.","Consumer Staples"
"AMZN","Amazon Corp.","Consumer Discretionary"
"ABK","Ambac Financial Group","Financials"
"AEE","Ameren Corporation","Utilities"
"AEP","American Electric Power","Utilities"
"AXP","American Express","Financials"
"AIG","American Int'l. Group","Financials"
"ASD","American Standard","Industrials"
"AMP","Ameriprise Financial, Inc.","Financials"
"ABC","AmerisourceBergen Corp.","Health Care"
"AMGN","Amgen","Health Care"
"APC","Anadarko Petroleum","Energy"
"ADI","Analog Devices","Information Technology"
"BUD","Anheuser-Busch","Consumer Staples"
"AOC","Aon Corp.","Financials"
"APA","Apache Corp.","Energy"
"AIV","Apartment Investment & Mgmt'A'","Financials"
"APOL","Apollo Group","Consumer Discretionary"
"AAPL","Apple Inc.","Information Technology"
"ABI","Applera Corp-Applied Biosystems Group","Health Care"
"AMAT","Applied Materials","Information Technology"
"ADM","Archer-Daniels-Midland","Consumer Staples"
"ASN","Archstone-Smith Trust","Financials"
"ASH","Ashland Inc.","Materials"
"AIZ","Assurant Inc","Financials"
"AN","AutoNation, Inc.","Consumer Discretionary"
"AZO","AutoZone Inc.","Consumer Discretionary"
"ADSK","Autodesk, Inc.","Information Technology"
"ADP","Automatic Data Processing Inc.","Information Technology"
"AVB","AvalonBay Communities","Financials"
"AV","Avaya Inc.","Information Technology"
"AVY","Avery Dennison Corp.","Industrials"
"AVP","Avon Products","Consumer Staples"
"BBT","BB&T Corporation","Financials"
"BIIB","BIOGEN IDEC Inc.","Health Care"
"BJS","BJ Services","Energy"
"BMC","BMC Software","Information Technology"
"BHI","Baker Hughes","Energy"
"BLL","Ball Corp.","Materials"
"BAC","Bank of America Corp.","Financials"
"BK","Bank of New York","Financials"
"BCR","Bard (C.R.) Inc.","Health Care"
"BRL","Barr Pharmaceuticals, Inc.","Health Care"
"BOL","Bausch & Lomb","Health Care"
"BAX","Baxter International Inc.","Health Care"
"BSC","Bear Stearns Cos.","Financials"
"BDX","Becton, Dickinson","Health Care"
"BBBY","Bed Bath & Beyond","Consumer Discretionary"
"BMS","Bemis Company","Materials"
"BBY","Best Buy Co., Inc.","Consumer Discretionary"
"BIG","Big Lots, Inc.","Consumer Discretionary"
"BMET","Biomet, Inc.","Health Care"
"BDK","Black & Decker Corp.","Consumer Discretionary"
"HRB","Block H&R","Consumer Discretionary"
"BA","Boeing Company","Industrials"
"BXP","Boston Properties","Financials"
"BSX","Boston Scientific","Health Care"
"BMY","Bristol-Myers Squibb","Health Care"
"BRCM","Broadcom Corporation","Information Technology"
"BF.B","Brown-Forman Corp.","Consumer Staples"
"BC","Brunswick Corp.","Consumer Discretionary"
"BNI","Burlington Northern Santa Fe C","Industrials"
"CHRW","C.H. Robinson Worldwide","Industrials"
"CA","CA, Inc.","Information Technology"
"CBG","CB Richard Ellis Group","Financials"
"CBS","CBS Corp.","Consumer Discretionary"
"CI","CIGNA Corp.","Health Care"
"CIT","CIT Group","Financials"
"CMS","CMS Energy","Utilities"
"CNX","CONSOL Energy Inc.","Energy"
"CSX","CSX Corp.","Industrials"
"CVS","CVS/Caremark Corp.","Consumer Staples"
"CPB","Campbell Soup","Consumer Staples"
"COF","Capital One Financial","Financials"
"CAH","Cardinal Health, Inc.","Health Care"
"CCL","Carnival Corp.","Consumer Discretionary"
"CAT","Caterpillar Inc.","Industrials"
"CELG","Celgene Corp.","Health Care"
"CNP","CenterPoint Energy","Utilities"
"CTX","Centex Corp.","Consumer Discretionary"
"CTL","Century Telephone","Telecommunication Services"
"SCHW","Charles Schwab","Financials"
"CHK","Chesapeake Energy","Energy"
"CVX","Chevron Corp.","Energy"
"CME","Chicago Mercantile Exchange","Financials"
"CB","Chubb Corp.","Financials"
"CIEN","Ciena Corp.","Information Technology"
"CINF","Cincinnati Financial","Financials"
"CTAS","Cintas Corporation","Industrials"
"CC","Circuit City Group","Consumer Discretionary"
"CSCO","Cisco Systems","Information Technology"
"C","Citigroup Inc.","Financials"
"CZN","Citizens Communications","Telecommunication Services"
"CTXS","Citrix Systems","Information Technology"
"CCU","Clear Channel Communications","Consumer Discretionary"
"CLX","Clorox Co.","Consumer Staples"
"COH","Coach, Inc.","Consumer Discretionary"
"KO","Coca Cola Co.","Consumer Staples"
"CCE","Coca-Cola Enterprises","Consumer Staples"
"CTSH","Cognizant Technology Solutions","Information Technology"
"CL","Colgate-Palmolive","Consumer Staples"
"CMCSA","Comcast Corp.","Consumer Discretionary"
"CMA","Comerica Inc.","Financials"
"CBH","Commerce Bancorp","Financials"
"CBSS","Compass Bancshares","Financials"
"CSC","Computer Sciences Corp.","Information Technology"
"CPWR","Compuware Corp.","Information Technology"
"CAG","ConAgra Foods, Inc.","Consumer Staples"
"COP","ConocoPhillips","Energy"
"ED","Consolidated Edison","Utilities"
"STZ","Constellation Brands","Consumer Staples"
"CEG","Constellation Energy Group","Utilities"
"CVG","Convergys Corp.","Information Technology"
"CBE","Cooper Industries, Ltd.","Industrials"
"GLW","Corning Inc.","Information Technology"
"COST","Costco Co.","Consumer Staples"
"CFC","Countrywide Financial Corp.","Financials"
"CVH","Coventry Health Care Inc.","Health Care"
"CMI","Cummins  Inc.","Industrials"
"DHI","D.R. Horton","Consumer Discretionary"
"DTV","DIRECTV Group Inc.","Consumer Discretionary"
"DTE","DTE Energy Co.","Utilities"
"DHR","Danaher Corp.","Industrials"
"DRI","Darden Restaurants","Consumer Discretionary"
"DF","Dean Foods","Consumer Staples"
"DE","Deere & Co.","Industrials"
"DELL","Dell Inc.","Information Technology"
"DDR","Developers Diversified Rlty","Financials"
"DVN","Devon Energy Corp.","Energy"
"DDS","Dillard Inc.","Consumer Discretionary"
"DG","Dollar General","Consumer Discretionary"
"D","Dominion Resources","Utilities"
"RRD","Donnelley (R.R.) & Sons","Industrials"
"DOV","Dover Corp.","Industrials"
"DOW","Dow Chemical","Materials"
"DJ","Dow Jones & Co.","Consumer Discretionary"
"DD","Du Pont (E.I.)","Materials"
"DUK","Duke Energy","Utilities"
"DYN","Dynegy Inc.","Utilities"
"ETFC","E*Trade Financial Corp.","Financials"
"EMC","EMC Corp.","Information Technology"
"ESV","ENSCO Int'l","Energy"
"EOG","EOG Resources","Energy"
"EMN","Eastman Chemical","Materials"
"EK","Eastman Kodak","Consumer Discretionary"
"ETN","Eaton Corp.","Industrials"
"ECL","Ecolab Inc.","Materials"
"EIX","Edison Int'l","Utilities"
"EP","El Paso Corp.","Energy"
"ERTS","Electronic Arts","Information Technology"
"EDS","Electronic Data Systems","Information Technology"
"EQ","Embarq Corporation","Telecommunication Services"
"EMR","Emerson Electric","Industrials"
"ETR","Entergy Corp.","Utilities"
"EFX","Equifax Inc.","Industrials"
"EQR","Equity Residential","Financials"
"EL","Estee Lauder Cos.","Consumer Staples"
"EXC","Exelon Corp.","Utilities"
"ESRX","Express Scripts","Health Care"
"XOM","Exxon Mobil Corp.","Energy"
"FISV","FIserv Inc.","Information Technology"
"FPL","FPL Group","Utilities"
"FDO","Family Dollar Stores","Consumer Discretionary"
"FNM","Fannie Mae","Financials"
"FDX","FedEx Corporation","Industrials"
"FRE","Federal Home Loan Mtg.","Financials"
"FD","Federated Dept. Stores","Consumer Discretionary"
"FII","Federated Investors Inc.","Financials"
"FIS","Fidelity National Information Services","Information Technology"
"FITB","Fifth Third Bancorp","Financials"
"FDC","First Data","Information Technology"
"FHN","First Horizon National","Financials"
"FE","FirstEnergy Corp.","Utilities"
"FLR","Fluor Corp. (New)","Industrials"
"F","Ford Motor","Consumer Discretionary"
"FRX","Forest Laboratories","Health Care"
"FO","Fortune Brands, Inc.","Consumer Discretionary"
"BEN","Franklin Resources","Financials"
"FCX","Freeport-McMoran Cp & Gld","Materials"
"GCI","Gannett Co.","Consumer Discretionary"
"GPS","Gap (The)","Consumer Discretionary"
"GD","General Dynamics","Industrials"
"GE","General Electric","Industrials"
"GIS","General Mills","Consumer Staples"
"GM","General Motors","Consumer Discretionary"
"GPC","Genuine Parts","Consumer Discretionary"
"GNW","Genworth Financial Inc.","Financials"
